"Interval start","All packets","TCP errors"
0,60,0
0.01,0,0
0.02,0,0
0.03,0,0
0.04,0,0
0.05,0,0
0.06,0,0
0.07,0,0
0.08,0,0
0.09,0,0
0.1,0,0
0.11,0,0
0.12,0,0
0.13,0,0
0.14,0,0
0.15,0,0
0.16,0,0
0.17,0,0
0.18,0,0
0.19,0,0
0.2,0,0
0.21,0,0
0.22,0,0
0.23,0,0
0.24,0,0
0.25,0,0
0.26,0,0
0.27,0,0
0.28,0,0
0.29,0,0
0.3,0,0
0.31,0,0
0.32,0,0
0.33,0,0
0.34,0,0
0.35,0,0
0.36,0,0
0.37,0,0
0.38,0,0
0.39,0,0
0.4,0,0
0.41,0,0
0.42,0,0
0.43,0,0
0.44,0,0
0.45,0,0
0.46,0,0
0.47,0,0
0.48,0,0
0.49,0,0
0.5,0,0
0.51,0,0
0.52,0,0
0.53,0,0
0.54,0,0
0.55,0,0
0.56,0,0
0.57,0,0
0.58,0,0
0.59,0,0
0.6,0,0
0.61,0,0
0.62,0,0
0.63,0,0
0.64,0,0
0.65,0,0
0.66,0,0
0.67,0,0
0.68,0,0
0.69,0,0
0.7,0,0
0.71,0,0
0.72,0,0
0.73,0,0
0.74,0,0
0.75,0,0
0.76,0,0
0.77,0,0
0.78,0,0
0.79,0,0
0.8,0,0
0.81,0,0
0.82,0,0
0.83,0,0
0.84,0,0
0.85,0,0
0.86,0,0
0.87,0,0
0.88,0,0
0.89,0,0
0.9,0,0
0.91,0,0
0.92,0,0
0.93,0,0
0.94,0,0
0.95,0,0
0.96,0,0
0.97,0,0
0.98,0,0
0.99,0,0
1,0,0
1.01,0,0
1.02,0,0
1.03,0,0
1.04,0,0
1.05,0,0
1.06,0,0
1.07,0,0
1.08,0,0
1.09,0,0
1.1,0,0
1.11,0,0
1.12,0,0
1.13,0,0
1.14,0,0
1.15,0,0
1.16,0,0
1.17,0,0
1.18,0,0
1.19,0,0
1.2,0,0
1.21,0,0
1.22,0,0
1.23,0,0
1.24,0,0
1.25,0,0
1.26,0,0
1.27,0,0
1.28,0,0
1.29,0,0
1.3,0,0
1.31,0,0
1.32,0,0
1.33,0,0
1.34,0,0
1.35,0,0
1.36,0,0
1.37,0,0
1.38,0,0
1.39,0,0
1.4,0,0
1.41,0,0
1.42,0,0
1.43,0,0
1.44,0,0
1.45,0,0
1.46,0,0
1.47,0,0
1.48,0,0
1.49,0,0
1.5,0,0
1.51,0,0
1.52,0,0
1.53,0,0
1.54,0,0
1.55,0,0
1.56,0,0
1.57,0,0
1.58,0,0
1.59,0,0
1.6,0,0
1.61,0,0
1.62,0,0
1.63,0,0
1.64,0,0
1.65,0,0
1.66,0,0
1.67,0,0
1.68,0,0
1.69,0,0
1.7,0,0
1.71,0,0
1.72,0,0
1.73,0,0
1.74,0,0
1.75,0,0
1.76,0,0
1.77,0,0
1.78,0,0
1.79,0,0
1.8,0,0
1.81,0,0
1.82,0,0
1.83,0,0
1.84,0,0
1.85,0,0
1.86,0,0
1.87,0,0
1.88,0,0
1.89,0,0
1.9,0,0
1.91,0,0
1.92,0,0
1.93,0,0
1.94,0,0
1.95,0,0
1.96,0,0
1.97,0,0
1.98,0,0
1.99,0,0
2,0,0
2.01,0,0
2.02,0,0
2.03,0,0
2.04,0,0
2.05,0,0
2.06,0,0
2.07,0,0
2.08,0,0
2.09,0,0
2.1,0,0
2.11,0,0
2.12,0,0
2.13,0,0
2.14,0,0
2.15,0,0
2.16,0,0
2.17,0,0
2.18,0,0
2.19,0,0
2.2,0,0
2.21,0,0
2.22,0,0
2.23,0,0
2.24,0,0
2.25,0,0
2.26,0,0
2.27,0,0
2.28,0,0
2.29,0,0
2.3,0,0
2.31,0,0
2.32,0,0
2.33,0,0
2.34,0,0
2.35,0,0
2.36,0,0
2.37,0,0
2.38,0,0
2.39,0,0
2.4,0,0
2.41,0,0
2.42,0,0
2.43,0,0
2.44,0,0
2.45,0,0
2.46,0,0
2.47,0,0
2.48,0,0
2.49,0,0
2.5,0,0
2.51,0,0
2.52,0,0
2.53,0,0
2.54,0,0
2.55,0,0
2.56,0,0
2.57,0,0
2.58,0,0
2.59,0,0
2.6,0,0
2.61,0,0
2.62,0,0
2.63,0,0
2.64,0,0
2.65,0,0
2.66,0,0
2.67,0,0
2.68,0,0
2.69,0,0
2.7,0,0
2.71,0,0
2.72,0,0
2.73,0,0
2.74,0,0
2.75,0,0
2.76,0,0
2.77,0,0
2.78,0,0
2.79,0,0
2.8,0,0
2.81,0,0
2.82,0,0
2.83,0,0
2.84,0,0
2.85,0,0
2.86,0,0
2.87,0,0
2.88,0,0
2.89,0,0
2.9,0,0
2.91,0,0
2.92,0,0
2.93,0,0
2.94,0,0
2.95,0,0
2.96,0,0
2.97,0,0
2.98,0,0
2.99,0,0
3,0,0
3.01,0,0
3.02,0,0
3.03,0,0
3.04,0,0
3.05,0,0
3.06,0,0
3.07,0,0
3.08,0,0
3.09,0,0
3.1,0,0
3.11,0,0
3.12,0,0
3.13,0,0
3.14,0,0
3.15,0,0
3.16,0,0
3.17,0,0
3.18,0,0
3.19,0,0
3.2,0,0
3.21,0,0
3.22,0,0
3.23,0,0
3.24,0,0
3.25,0,0
3.26,0,0
3.27,0,0
3.28,0,0
3.29,0,0
3.3,0,0
3.31,0,0
3.32,0,0
3.33,0,0
3.34,0,0
3.35,0,0
3.36,0,0
3.37,0,0
3.38,0,0
3.39,0,0
3.4,0,0
3.41,0,0
3.42,0,0
3.43,0,0
3.44,0,0
3.45,0,0
3.46,0,0
3.47,0,0
3.48,0,0
3.49,0,0
3.5,0,0
3.51,0,0
3.52,0,0
3.53,0,0
3.54,0,0
3.55,0,0
3.56,0,0
3.57,0,0
3.58,0,0
3.59,0,0
3.6,84,0
3.61,148,0
3.62,55522,0
3.63,114944,0
3.64,93612,0
3.65,122180,0
3.66,102102,0
3.67,117286,50
3.68,103682,0
3.69,143772,0
3.7,126788,0
3.71,126986,0
3.72,165298,0
3.73,128632,0
3.74,143904,0
3.75,160888,0
3.76,142324,0
3.77,167076,0
3.78,134556,0
3.79,125340,0
3.8,132976,0
3.81,91306,0
3.82,114478,0
3.83,117572,0
3.84,103682,0
3.85,120666,0
3.86,125274,0
3.87,139230,0
3.88,185640,0
3.89,193276,0
3.9,208944,0
3.91,181032,0
3.92,115794,0
3.93,3226,0
3.94,170236,0
3.95,174844,0
3.96,88080,0
3.97,187286,0
3.98,211906,0
3.99,148116,0
4,179782,0
4.01,162534,0
4.02,171618,0
4.03,187220,0
4.04,154766,0
4.05,172934,0
4.06,147196,0
4.07,171816,0
4.08,146932,0
4.09,154700,0
4.1,182282,0
4.11,159638,0
4.12,170104,0
4.13,190314,0
4.14,193408,0
4.15,105196,0
4.16,117572,0
4.17,171420,0
4.18,168788,0
4.19,153252,0
4.2,114082,0
4.21,96310,0
4.22,94400,0
4.23,105196,0
4.24,97428,0
4.25,100588,0
4.26,92820,0
4.27,97428,0
4.28,95914,0
4.29,89726,0
4.3,91306,0
4.31,94334,0
4.32,86632,0
4.33,95914,0
4.34,91306,0
4.35,95914,0
4.36,106710,0
4.37,77350,0
4.38,99008,0
4.39,97494,0
4.4,94334,0
4.41,103682,0
4.42,86632,0
4.43,97428,0
4.44,95914,0
4.45,103616,0
4.46,108356,0
4.47,88146,0
4.48,95914,0
4.49,100588,0
4.5,102102,0
4.51,108290,0
4.52,83538,0
4.53,106710,0
4.54,1580,0
4.55,52598,0
4.56,80444,0
4.57,72676,0
4.58,85118,0
4.59,68068,0
4.6,86632,0
4.61,86632,0
4.62,83538,0
4.63,88146,0
4.64,68068,0
4.65,95914,0
4.66,92820,0
4.67,89726,0
4.68,97494,0
4.69,94334,0
4.7,103682,0
4.71,106710,0
4.72,92820,0
4.73,103616,0
4.74,102102,0
4.75,100588,0
4.76,89726,0
4.77,92820,0
4.78,106776,0
4.79,74256,0
4.8,68068,0
4.81,81958,0
4.82,89726,0
4.83,91306,0
4.84,81958,0
4.85,99008,0
4.86,92820,0
4.87,52598,0
4.88,71162,0
4.89,64974,0
4.9,64974,0
4.91,77350,0
4.92,58786,0
4.93,72742,0
4.94,68068,0
4.95,66488,0
4.96,68068,0
4.97,57272,0
4.98,68068,0
4.99,69582,0
5,72742,0
5.01,74256,0
5.02,63394,0
5.03,66554,0
5.04,74190,0
5.05,71228,0
5.06,71162,0
5.07,52598,0
5.08,68068,0
5.09,72676,0
5.1,68068,0
5.11,66554,0
5.12,63394,0
5.13,72874,0
5.14,72676,0
5.15,69648,0
5.16,68068,0
5.17,60300,0
5.18,77350,0
5.19,12376,0
5.2,26332,0
5.21,43316,0
5.22,60300,0
5.23,66686,0
5.24,43448,0
5.25,57206,0
5.26,77350,0
5.27,64974,0
5.28,74256,0
5.29,77350,0
5.3,61880,0
5.31,74256,0
5.32,69648,0
5.33,77350,0
5.34,75770,0
5.35,74256,0
5.36,61880,0
5.37,63460,0
5.38,74256,0
5.39,68068,0
5.4,55692,0
5.41,71162,0
5.42,61880,0
5.43,51018,0
5.44,57272,0
5.45,61880,0
5.46,66488,0
5.47,63460,0
5.48,66488,0
5.49,34034,0
5.5,43316,0
5.51,51084,0
5.52,37128,0
5.53,51018,0
5.54,47990,0
5.55,43316,0
5.56,49504,0
5.57,44830,0
5.58,46410,0
5.59,44896,0
5.6,41736,0
5.61,43316,0
5.62,41802,0
5.63,52598,0
5.64,54112,0
5.65,49504,0
5.66,46410,0
5.67,52598,0
5.68,54178,0
5.69,55692,0
5.7,54112,0
5.71,57272,0
5.72,47924,0
5.73,54178,0
5.74,54112,0
5.75,49504,0
5.76,58786,0
5.77,54112,0
5.78,58852,0
5.79,55692,0
5.8,61880,0
5.81,24752,0
5.82,6188,0
5.83,38642,0
5.84,55692,0
5.85,35614,0
5.86,41736,0
5.87,55758,0
5.88,54178,0
5.89,52598,0
5.9,41736,0
5.91,54178,0
5.92,57206,0
5.93,54178,0
5.94,54244,0
5.95,49504,0
5.96,61880,0
5.97,58786,0
5.98,54112,0
5.99,54178,0
6,58786,0
6.01,60300,0
6.02,46410,0
6.03,46410,0
6.04,54112,0
6.05,47990,0
6.06,57272,0
6.07,52598,0
6.08,38642,0
6.09,32520,0
6.1,23172,0
6.11,40222,0
6.12,43316,0
6.13,43316,0
6.14,46410,0
6.15,43316,0
6.16,47990,0
6.17,43316,0
6.18,40222,0
6.19,27846,0
6.2,35548,0
6.21,43316,0
6.22,49504,0
6.23,43316,0
6.24,44896,0
6.25,47924,0
6.26,44896,0
6.27,46410,0
6.28,46410,0
6.29,43316,0
