"Interval start","All packets","TCP errors"
0,60,0
0.01,0,0
0.02,0,0
0.03,0,0
0.04,0,0
0.05,0,0
0.06,0,0
0.07,0,0
0.08,0,0
0.09,0,0
0.1,0,0
0.11,0,0
0.12,0,0
0.13,0,0
0.14,0,0
0.15,0,0
0.16,0,0
0.17,0,0
0.18,0,0
0.19,0,0
0.2,0,0
0.21,0,0
0.22,0,0
0.23,0,0
0.24,0,0
0.25,0,0
0.26,0,0
0.27,0,0
0.28,0,0
0.29,0,0
0.3,0,0
0.31,0,0
0.32,0,0
0.33,0,0
0.34,0,0
0.35,0,0
0.36,0,0
0.37,0,0
0.38,0,0
0.39,0,0
0.4,0,0
0.41,0,0
0.42,0,0
0.43,0,0
0.44,0,0
0.45,0,0
0.46,0,0
0.47,0,0
0.48,0,0
0.49,0,0
0.5,0,0
0.51,0,0
0.52,0,0
0.53,0,0
0.54,0,0
0.55,0,0
0.56,0,0
0.57,0,0
0.58,0,0
0.59,0,0
0.6,0,0
0.61,0,0
0.62,0,0
0.63,0,0
0.64,0,0
0.65,0,0
0.66,0,0
0.67,0,0
0.68,0,0
0.69,0,0
0.7,0,0
0.71,0,0
0.72,0,0
0.73,0,0
0.74,0,0
0.75,0,0
0.76,0,0
0.77,0,0
0.78,0,0
0.79,0,0
0.8,0,0
0.81,0,0
0.82,0,0
0.83,0,0
0.84,0,0
0.85,0,0
0.86,0,0
0.87,0,0
0.88,0,0
0.89,0,0
0.9,0,0
0.91,0,0
0.92,0,0
0.93,0,0
0.94,0,0
0.95,0,0
0.96,0,0
0.97,0,0
0.98,0,0
0.99,0,0
1,0,0
1.01,0,0
1.02,0,0
1.03,0,0
1.04,0,0
1.05,0,0
1.06,0,0
1.07,0,0
1.08,0,0
1.09,0,0
1.1,0,0
1.11,0,0
1.12,0,0
1.13,0,0
1.14,0,0
1.15,0,0
1.16,0,0
1.17,0,0
1.18,0,0
1.19,0,0
1.2,0,0
1.21,0,0
1.22,0,0
1.23,0,0
1.24,0,0
1.25,0,0
1.26,0,0
1.27,0,0
1.28,0,0
1.29,0,0
1.3,0,0
1.31,0,0
1.32,0,0
1.33,0,0
1.34,0,0
1.35,0,0
1.36,0,0
1.37,0,0
1.38,0,0
1.39,0,0
1.4,0,0
1.41,0,0
1.42,0,0
1.43,0,0
1.44,0,0
1.45,0,0
1.46,0,0
1.47,0,0
1.48,0,0
1.49,0,0
1.5,0,0
1.51,0,0
1.52,0,0
1.53,0,0
1.54,0,0
1.55,0,0
1.56,0,0
1.57,0,0
1.58,0,0
1.59,0,0
1.6,0,0
1.61,0,0
1.62,0,0
1.63,0,0
1.64,0,0
1.65,0,0
1.66,0,0
1.67,0,0
1.68,0,0
1.69,0,0
1.7,0,0
1.71,0,0
1.72,0,0
1.73,0,0
1.74,84,0
1.75,148,0
1.76,14442,0
1.77,52140,0
1.78,70506,0
1.79,51018,0
1.8,71756,57
1.81,26530,0
1.82,69648,0
1.83,64908,0
1.84,65040,0
1.85,69582,0
1.86,61880,0
1.87,63460,0
1.88,71162,0
1.89,74256,0
1.9,72676,0
1.91,61880,0
1.92,71162,0
1.93,69648,0
1.94,72676,0
1.95,71162,0
1.96,52598,0
1.97,66554,0
1.98,75770,0
1.99,63394,0
2,72742,0
2.01,63460,0
2.02,71162,0
2.03,68068,0
2.04,69582,0
2.05,72742,0
2.06,63394,0
2.07,64974,0
2.08,0,0
2.09,38708,0
2.1,54112,0
2.11,54178,0
2.12,60300,0
2.13,40222,0
2.14,72742,0
2.15,75770,0
2.16,66488,0
2.17,74322,0
2.18,66488,0
2.19,72742,0
2.2,74256,0
2.21,72676,0
2.22,71162,0
2.23,75836,0
2.24,77350,0
2.25,58786,0
2.26,66488,0
2.27,68068,0
2.28,69648,0
2.29,57206,0
2.3,74256,0
2.31,47990,0
2.32,52598,0
2.33,61880,0
2.34,66488,0
2.35,69648,0
2.36,61880,0
2.37,49504,0
2.38,43316,0
2.39,44830,0
2.4,49504,0
2.41,38708,0
2.42,47924,0
2.43,47990,0
2.44,44830,0
2.45,52598,0
2.46,44896,0
2.47,43316,0
2.48,46410,0
2.49,34034,0
2.5,46410,0
2.51,46410,0
2.52,52796,0
2.53,52598,0
2.54,46410,0
2.55,52598,0
2.56,49504,0
2.57,55692,0
2.58,55692,0
2.59,54112,0
2.6,57272,0
2.61,51018,0
2.62,54112,0
2.63,51084,0
2.64,52598,0
2.65,58786,0
2.66,51084,0
2.67,60300,0
2.68,57272,0
2.69,60300,0
2.7,6188,0
2.71,17050,0
2.72,44830,0
2.73,52598,0
2.74,40222,0
2.75,41802,0
2.76,52598,0
2.77,51150,0
2.78,55692,0
2.79,44896,0
2.8,55692,0
2.81,52598,0
2.82,55692,0
2.83,54178,0
2.84,52598,0
2.85,61880,0
2.86,51018,0
2.87,57272,0
2.88,58786,0
2.89,58786,0
2.9,57206,0
2.91,41802,0
2.92,49504,0
2.93,54112,0
2.94,51084,0
2.95,55692,0
2.96,40288,0
2.97,40222,0
2.98,35614,0
2.99,23172,0
3,47924,0
3.01,38708,0
3.02,46410,0
3.03,47990,0
3.04,40222,0
3.05,51018,0
3.06,37128,0
3.07,41802,0
3.08,24752,0
3.09,41736,0
3.1,44896,0
3.11,43448,0
3.12,46410,0
3.13,47990,0
3.14,44830,0
3.15,46410,0
3.16,43316,0
3.17,47924,0
3.18,47990,0
3.19,44896,0
3.2,44830,0
3.21,41802,0
3.22,47924,0
3.23,44896,0
3.24,47924,0
3.25,46410,0
3.26,43316,0
3.27,44896,0
3.28,49504,0
3.29,46410,0
3.3,46410,0
3.31,41736,0
3.32,46410,0
3.33,49504,0
3.34,43316,0
3.35,46410,0
3.36,40222,0
3.37,40222,0
3.38,52664,0
3.39,43316,0
3.4,49504,0
3.41,43316,0
3.42,38642,0
3.43,51084,0
3.44,47924,0
3.45,47990,0
3.46,43316,0
3.47,38642,0
3.48,51084,0
3.49,43316,0
3.5,40222,0
3.51,43514,0
3.52,40222,0
3.53,46410,0
3.54,49504,0
3.55,46410,0
3.56,46410,0
3.57,38642,0
3.58,47990,0
3.59,46410,0
3.6,46410,0
3.61,47924,0
3.62,38708,0
3.63,47924,0
3.64,41802,0
3.65,51018,0
3.66,46410,0
3.67,38708,0
3.68,44830,0
3.69,41802,0
3.7,47924,0
3.71,47990,0
3.72,37128,0
3.73,47924,0
3.74,43316,0
3.75,49570,0
3.76,47990,0
3.77,40222,0
3.78,46410,0
3.79,44830,0
3.8,51084,0
3.81,49504,0
3.82,21658,0
3.83,49504,0
3.84,47924,0
3.85,46410,0
3.86,49504,0
3.87,41868,0
3.88,49504,0
3.89,46410,0
3.9,46410,0
3.91,46410,0
3.92,23238,0
3.93,37128,0
3.94,41736,0
3.95,41802,0
3.96,41934,0
3.97,32454,0
3.98,52598,0
3.99,35614,0
4,38642,0
4.01,43316,0
4.02,40222,0
4.03,32520,0
4.04,47924,0
4.05,44896,0
4.06,47924,0
4.07,40222,0
4.08,49504,0
4.09,43316,0
4.1,47990,0
4.11,46410,0
4.12,38642,0
4.13,46410,0
4.14,49504,0
4.15,49504,0
4.16,40222,0
4.17,41802,0
4.18,46410,0
4.19,47924,0
4.2,51084,0
4.21,44830,0
4.22,44896,0
4.23,44830,0
4.24,49504,0
4.25,51084,0
4.26,34034,0
4.27,40222,0
4.28,43316,0
4.29,41736,0
4.3,49504,0
4.31,49504,0
4.32,40222,0
4.33,51084,0
4.34,44830,0
4.35,51084,0
4.36,43316,0
4.37,40222,0
4.38,49438,0
4.39,40288,0
4.4,49504,0
4.41,49504,0
4.42,43316,0
4.43,44896,0
4.44,38642,0
4.45,41802,0
4.46,43316,0
4.47,38642,0
4.48,41802,0
4.49,32454,0
4.5,35614,0
4.51,41736,0
4.52,37128,0
4.53,44896,0
4.54,38642,0
4.55,43316,0
4.56,38708,0
4.57,34034,0
4.58,41736,0
4.59,41802,0
4.6,41736,0
4.61,43316,0
4.62,37128,0
4.63,40222,0
4.64,44896,0
4.65,46410,0
4.66,41736,0
4.67,38774,0
4.68,43316,0
4.69,38708,0
4.7,46410,0
4.71,30940,0
4.72,35548,0
4.73,44896,0
4.74,40222,0
4.75,47924,0
4.76,44896,0
4.77,40222,0
4.78,43316,0
4.79,44830,0
4.8,46410,0
4.81,46542,0
4.82,35614,0
4.83,44896,0
4.84,38642,0
4.85,43316,0
4.86,43316,0
4.87,29426,0
4.88,49504,0
4.89,43250,0
4.9,43382,0
4.91,44830,0
4.92,40222,0
4.93,49504,0
4.94,44830,0
4.95,41802,0
4.96,44896,0
4.97,24752,0
4.98,23172,0
4.99,35614,0
5,35548,0
5.01,40222,0
5.02,27846,0
5.03,44896,0
5.04,41736,0
5.05,47990,0
5.06,43316,0
5.07,35548,0
5.08,41802,0
5.09,44830,0
5.1,40222,0
5.11,44896,0
5.12,41736,0
5.13,41802,0
5.14,41736,0
5.15,44896,0
5.16,41736,0
5.17,40222,0
5.18,46410,0
5.19,40222,0
5.2,41802,0
5.21,43316,0
5.22,41736,0
5.23,43316,0
5.24,44896,0
5.25,44830,0
5.26,43316,0
5.27,35614,0
5.28,46410,0
5.29,49504,0
5.3,46410,0
5.31,49504,0
5.32,34034,0
5.33,0,0
5.34,0,0
5.35,0,0
5.36,29360,0
5.37,46410,0
5.38,41802,0
5.39,43316,0
5.4,46740,0
5.41,45160,0
5.42,51018,0
5.43,41802,0
5.44,46344,0
5.45,47990,0
5.46,46410,0
5.47,49504,0
5.48,44896,0
5.49,29360,0
5.5,34034,0
5.51,41802,0
5.52,41736,0
5.53,37128,0
5.54,44896,0
5.55,46410,0
5.56,40222,0
5.57,43316,0
5.58,44830,0
5.59,49504,0
5.6,41802,0
5.61,43316,0
5.62,46344,0
5.63,34100,0
5.64,43316,0
5.65,46410,0
5.66,41736,0
5.67,44830,0
5.68,40288,0
5.69,38642,0
5.7,47990,0
5.71,46410,0
5.72,43316,0
5.73,38642,0
5.74,44830,0
5.75,44896,0
5.76,43316,0
5.77,47924,0
5.78,35614,0
5.79,41802,0
5.8,44830,0
5.81,49504,0
5.82,46410,0
5.83,34034,0
5.84,44896,0
5.85,24752,0
5.86,35548,0
5.87,44896,0
5.88,21658,0
5.89,38642,0
5.9,40222,0
5.91,29360,0
5.92,35614,0
5.93,32520,0
5.94,37128,0
5.95,38642,0
5.96,29426,0
5.97,30940,0
5.98,37128,0
5.99,40222,0
6,38642,0
6.01,43316,0
6.02,41802,0
6.03,37128,0
6.04,43316,0
6.05,41736,0
6.06,38708,0
6.07,43316,0
6.08,41736,0
6.09,38708,0
