"Interval start","All packets","TCP errors"
0,60,0
0.01,0,0
0.02,0,0
0.03,0,0
0.04,0,0
0.05,0,0
0.06,0,0
0.07,0,0
0.08,0,0
0.09,0,0
0.1,0,0
0.11,0,0
0.12,0,0
0.13,0,0
0.14,0,0
0.15,0,0
0.16,0,0
0.17,0,0
0.18,0,0
0.19,0,0
0.2,0,0
0.21,0,0
0.22,0,0
0.23,0,0
0.24,0,0
0.25,0,0
0.26,0,0
0.27,0,0
0.28,0,0
0.29,0,0
0.3,0,0
0.31,0,0
0.32,0,0
0.33,0,0
0.34,0,0
0.35,0,0
0.36,0,0
0.37,0,0
0.38,0,0
0.39,0,0
0.4,0,0
0.41,0,0
0.42,0,0
0.43,0,0
0.44,0,0
0.45,0,0
0.46,0,0
0.47,0,0
0.48,0,0
0.49,0,0
0.5,0,0
0.51,0,0
0.52,0,0
0.53,0,0
0.54,0,0
0.55,0,0
0.56,0,0
0.57,0,0
0.58,0,0
0.59,0,0
0.6,0,0
0.61,0,0
0.62,0,0
0.63,0,0
0.64,0,0
0.65,0,0
0.66,0,0
0.67,0,0
0.68,0,0
0.69,0,0
0.7,0,0
0.71,0,0
0.72,0,0
0.73,0,0
0.74,0,0
0.75,0,0
0.76,0,0
0.77,0,0
0.78,0,0
0.79,0,0
0.8,0,0
0.81,0,0
0.82,0,0
0.83,0,0
0.84,0,0
0.85,0,0
0.86,0,0
0.87,0,0
0.88,0,0
0.89,0,0
0.9,0,0
0.91,0,0
0.92,0,0
0.93,0,0
0.94,0,0
0.95,0,0
0.96,0,0
0.97,0,0
0.98,0,0
0.99,0,0
1,0,0
1.01,0,0
1.02,0,0
1.03,0,0
1.04,0,0
1.05,0,0
1.06,0,0
1.07,0,0
1.08,0,0
1.09,0,0
1.1,0,0
1.11,0,0
1.12,0,0
1.13,0,0
1.14,0,0
1.15,0,0
1.16,0,0
1.17,0,0
1.18,0,0
1.19,0,0
1.2,0,0
1.21,0,0
1.22,0,0
1.23,0,0
1.24,0,0
1.25,0,0
1.26,0,0
1.27,0,0
1.28,0,0
1.29,0,0
1.3,0,0
1.31,0,0
1.32,0,0
1.33,0,0
1.34,0,0
1.35,0,0
1.36,0,0
1.37,0,0
1.38,0,0
1.39,0,0
1.4,0,0
1.41,0,0
1.42,0,0
1.43,0,0
1.44,0,0
1.45,0,0
1.46,0,0
1.47,0,0
1.48,0,0
1.49,0,0
1.5,0,0
1.51,0,0
1.52,0,0
1.53,0,0
1.54,0,0
1.55,0,0
1.56,0,0
1.57,0,0
1.58,0,0
1.59,0,0
1.6,0,0
1.61,0,0
1.62,0,0
1.63,0,0
1.64,0,0
1.65,0,0
1.66,0,0
1.67,0,0
1.68,0,0
1.69,0,0
1.7,0,0
1.71,0,0
1.72,0,0
1.73,0,0
1.74,0,0
1.75,0,0
1.76,0,0
1.77,0,0
1.78,0,0
1.79,0,0
1.8,0,0
1.81,0,0
1.82,0,0
1.83,0,0
1.84,0,0
1.85,0,0
1.86,0,0
1.87,0,0
1.88,0,0
1.89,0,0
1.9,0,0
1.91,0,0
1.92,0,0
1.93,0,0
1.94,0,0
1.95,0,0
1.96,0,0
1.97,0,0
1.98,0,0
1.99,0,0
2,0,0
2.01,0,0
2.02,0,0
2.03,0,0
2.04,0,0
2.05,0,0
2.06,0,0
2.07,0,0
2.08,0,0
2.09,0,0
2.1,0,0
2.11,0,0
2.12,0,0
2.13,0,0
2.14,0,0
2.15,0,0
2.16,0,0
2.17,0,0
2.18,0,0
2.19,0,0
2.2,0,0
2.21,0,0
2.22,0,0
2.23,0,0
2.24,0,0
2.25,0,0
2.26,0,0
2.27,0,0
2.28,0,0
2.29,0,0
2.3,0,0
2.31,0,0
2.32,0,0
2.33,0,0
2.34,0,0
2.35,0,0
2.36,0,0
2.37,0,0
2.38,0,0
2.39,0,0
2.4,0,0
2.41,0,0
2.42,0,0
2.43,0,0
2.44,0,0
2.45,0,0
2.46,0,0
2.47,0,0
2.48,0,0
2.49,0,0
2.5,0,0
2.51,0,0
2.52,0,0
2.53,0,0
2.54,0,0
2.55,0,0
2.56,0,0
2.57,0,0
2.58,0,0
2.59,0,0
2.6,0,0
2.61,0,0
2.62,0,0
2.63,0,0
2.64,0,0
2.65,0,0
2.66,0,0
2.67,0,0
2.68,0,0
2.69,0,0
2.7,0,0
2.71,0,0
2.72,0,0
2.73,0,0
2.74,0,0
2.75,0,0
2.76,0,0
2.77,0,0
2.78,0,0
2.79,0,0
2.8,0,0
2.81,0,0
2.82,0,0
2.83,0,0
2.84,0,0
2.85,0,0
2.86,0,0
2.87,0,0
2.88,0,0
2.89,0,0
2.9,0,0
2.91,0,0
2.92,0,0
2.93,0,0
2.94,0,0
2.95,0,0
2.96,0,0
2.97,0,0
2.98,0,0
2.99,0,0
3,0,0
3.01,0,0
3.02,0,0
3.03,0,0
3.04,0,0
3.05,0,0
3.06,0,0
3.07,0,0
3.08,0,0
3.09,0,0
3.1,0,0
3.11,0,0
3.12,0,0
3.13,0,0
3.14,0,0
3.15,0,0
3.16,0,0
3.17,0,0
3.18,0,0
3.19,0,0
3.2,0,0
3.21,0,0
3.22,0,0
3.23,0,0
3.24,0,0
3.25,0,0
3.26,0,0
3.27,0,0
3.28,0,0
3.29,0,0
3.3,0,0
3.31,0,0
3.32,0,0
3.33,0,0
3.34,0,0
3.35,0,0
3.36,0,0
3.37,0,0
3.38,0,0
3.39,0,0
3.4,0,0
3.41,0,0
3.42,0,0
3.43,0,0
3.44,0,0
3.45,0,0
3.46,0,0
3.47,0,0
3.48,0,0
3.49,0,0
3.5,0,0
3.51,0,0
3.52,0,0
3.53,0,0
3.54,0,0
3.55,0,0
3.56,0,0
3.57,0,0
3.58,0,0
3.59,0,0
3.6,0,0
3.61,0,0
3.62,0,0
3.63,0,0
3.64,0,0
3.65,0,0
3.66,0,0
3.67,0,0
3.68,0,0
3.69,0,0
3.7,0,0
3.71,0,0
3.72,0,0
3.73,0,0
3.74,0,0
3.75,0,0
3.76,0,0
3.77,0,0
3.78,0,0
3.79,0,0
3.8,0,0
3.81,0,0
3.82,0,0
3.83,0,0
3.84,0,0
3.85,0,0
3.86,0,0
3.87,0,0
3.88,0,0
3.89,0,0
3.9,84,0
3.91,0,0
3.92,148,0
3.93,3382,0
3.94,26860,0
3.95,39500,0
3.96,45688,0
3.97,40222,0
3.98,47924,0
3.99,46410,0
4,43316,0
4.01,48112,45
4.02,39692,32
4.03,31402,0
4.04,29492,1
4.05,40222,0
4.06,49504,0
4.07,43316,0
4.08,43316,0
4.09,51018,0
4.1,43316,0
4.11,44896,0
4.12,46410,0
4.13,44830,0
4.14,49504,0
4.15,44896,0
4.16,44830,0
4.17,41802,0
4.18,47924,0
4.19,46410,0
4.2,46410,0
4.21,43316,0
4.22,44896,0
4.23,49504,0
4.24,46410,0
4.25,46410,0
4.26,44830,0
4.27,43316,0
4.28,47990,0
4.29,44830,0
4.3,49504,0
4.31,44896,0
4.32,35548,0
4.33,47990,0
4.34,46410,0
4.35,46410,0
4.36,44830,0
4.37,38708,0
4.38,49504,0
4.39,49504,0
4.4,46410,0
4.41,47924,0
4.42,38708,0
4.43,46410,0
4.44,47924,0
4.45,38708,0
4.46,44830,0
4.47,37128,0
4.48,44896,0
4.49,49504,0
4.5,51018,0
4.51,44896,0
4.52,40222,0
4.53,43316,0
4.54,49504,0
4.55,47924,0
4.56,43316,0
4.57,43316,0
4.58,44896,0
4.59,41736,0
4.6,49504,0
4.61,46410,0
4.62,40222,0
4.63,44896,0
4.64,41736,0
4.65,47990,0
4.66,47924,0
4.67,38708,0
4.68,46410,0
4.69,44830,0
4.7,46410,0
4.71,47990,0
4.72,41736,0
4.73,49504,0
4.74,44896,0
4.75,46344,0
4.76,49570,0
4.77,35548,0
4.78,34034,0
4.79,49504,0
4.8,46542,0
4.81,49504,0
4.82,46410,0
4.83,43316,0
4.84,51018,0
4.85,43316,0
4.86,46410,0
4.87,44896,0
4.88,20078,0
4.89,43316,0
4.9,40222,0
4.91,41868,0
4.92,30940,0
4.93,47990,0
4.94,49504,0
4.95,27846,0
4.96,44830,0
4.97,41802,0
4.98,30940,0
4.99,46410,0
5,44830,0
5.01,44896,0
5.02,43316,0
5.03,46410,0
5.04,49504,0
5.05,46410,0
5.06,44830,0
5.07,41736,0
5.08,43382,0
5.09,47924,0
5.1,47990,0
5.11,46410,0
5.12,41736,0
5.13,43316,0
5.14,47990,0
5.15,47924,0
5.16,47990,0
5.17,47924,0
5.18,43316,0
5.19,46410,0
5.2,51084,0
5.21,44830,0
5.22,35614,0
5.23,40222,0
5.24,44830,0
5.25,43316,0
5.26,48056,0
5.27,49504,0
5.28,43316,0
5.29,51084,0
5.3,41736,0
5.31,52598,0
5.32,43316,0
5.33,40222,0
5.34,44896,0
5.35,43316,0
5.36,51018,0
5.37,51084,0
5.38,40222,0
5.39,43316,0
5.4,37128,0
5.41,44830,0
5.42,43316,0
5.43,37128,0
5.44,43316,0
5.45,26332,0
5.46,40222,0
5.47,41736,0
5.48,38840,0
5.49,44830,0
5.5,35614,0
5.51,41736,0
5.52,41802,0
5.53,34034,0
5.54,43316,0
5.55,40222,0
5.56,41868,0
5.57,41736,0
5.58,38708,0
5.59,41736,0
5.6,44896,0
5.61,43316,0
5.62,43316,0
5.63,37128,0
5.64,43316,0
5.65,41736,0
5.66,32520,0
5.67,43316,0
5.68,34034,0
5.69,46344,0
5.7,41802,0
5.71,46542,0
5.72,47990,0
5.73,38642,0
5.74,46410,0
5.75,43316,0
5.76,43316,0
5.77,47990,0
5.78,34034,0
5.79,43316,0
5.8,40222,0
5.81,40222,0
5.82,38642,0
5.83,41802,0
5.84,44830,0
5.85,41736,0
5.86,46476,0
5.87,43316,0
5.88,40222,0
5.89,51018,0
5.9,40222,0
5.91,43316,0
5.92,40222,0
5.93,15470,0
5.94,34034,0
5.95,35614,0
5.96,41736,0
5.97,35614,0
5.98,30940,0
5.99,46410,0
6,43316,0
6.01,45028,0
6.02,43316,0
6.03,35614,0
6.04,43316,0
6.05,44830,0
6.06,40222,0
6.07,46410,0
6.08,37128,0
6.09,41802,0
6.1,44830,0
6.11,40222,0
6.12,46410,0
6.13,40222,0
6.14,41802,0
6.15,43316,0
6.16,44830,0
6.17,41802,0
6.18,40222,0
6.19,46410,0
6.2,40222,0
6.21,44830,0
6.22,43316,0
6.23,38708,0
6.24,47924,0
6.25,47990,0
6.26,46410,0
6.27,51018,0
6.28,10862,0
6.29,0,0
6.3,0,0
6.31,12376,0
6.32,40222,0
6.33,38642,0
