"Interval start","All packets","TCP errors"
0,60,0
0.01,0,0
0.02,0,0
0.03,0,0
0.04,0,0
0.05,0,0
0.06,0,0
0.07,0,0
0.08,0,0
0.09,0,0
0.1,0,0
0.11,0,0
0.12,0,0
0.13,0,0
0.14,0,0
0.15,0,0
0.16,0,0
0.17,0,0
0.18,0,0
0.19,0,0
0.2,0,0
0.21,0,0
0.22,0,0
0.23,0,0
0.24,0,0
0.25,0,0
0.26,0,0
0.27,0,0
0.28,0,0
0.29,0,0
0.3,0,0
0.31,0,0
0.32,0,0
0.33,0,0
0.34,0,0
0.35,0,0
0.36,0,0
0.37,0,0
0.38,0,0
0.39,0,0
0.4,0,0
0.41,0,0
0.42,0,0
0.43,0,0
0.44,0,0
0.45,0,0
0.46,0,0
0.47,0,0
0.48,0,0
0.49,0,0
0.5,0,0
0.51,0,0
0.52,0,0
0.53,0,0
0.54,0,0
0.55,0,0
0.56,0,0
0.57,0,0
0.58,0,0
0.59,0,0
0.6,0,0
0.61,0,0
0.62,0,0
0.63,0,0
0.64,0,0
0.65,0,0
0.66,0,0
0.67,0,0
0.68,0,0
0.69,0,0
0.7,0,0
0.71,0,0
0.72,0,0
0.73,0,0
0.74,0,0
0.75,0,0
0.76,0,0
0.77,0,0
0.78,0,0
0.79,0,0
0.8,0,0
0.81,0,0
0.82,0,0
0.83,0,0
0.84,0,0
0.85,0,0
0.86,0,0
0.87,0,0
0.88,0,0
0.89,0,0
0.9,0,0
0.91,0,0
0.92,0,0
0.93,0,0
0.94,0,0
0.95,0,0
0.96,0,0
0.97,0,0
0.98,0,0
0.99,0,0
1,0,0
1.01,0,0
1.02,0,0
1.03,0,0
1.04,0,0
1.05,0,0
1.06,0,0
1.07,0,0
1.08,0,0
1.09,0,0
1.1,0,0
1.11,0,0
1.12,0,0
1.13,0,0
1.14,0,0
1.15,0,0
1.16,0,0
1.17,0,0
1.18,0,0
1.19,0,0
1.2,0,0
1.21,0,0
1.22,0,0
1.23,0,0
1.24,0,0
1.25,0,0
1.26,0,0
1.27,0,0
1.28,0,0
1.29,0,0
1.3,0,0
1.31,0,0
1.32,0,0
1.33,0,0
1.34,0,0
1.35,0,0
1.36,0,0
1.37,0,0
1.38,0,0
1.39,0,0
1.4,0,0
1.41,0,0
1.42,0,0
1.43,0,0
1.44,0,0
1.45,0,0
1.46,0,0
1.47,0,0
1.48,0,0
1.49,0,0
1.5,0,0
1.51,0,0
1.52,0,0
1.53,0,0
1.54,0,0
1.55,0,0
1.56,0,0
1.57,0,0
1.58,0,0
1.59,0,0
1.6,0,0
1.61,0,0
1.62,0,0
1.63,0,0
1.64,0,0
1.65,0,0
1.66,0,0
1.67,0,0
1.68,0,0
1.69,0,0
1.7,0,0
1.71,0,0
1.72,0,0
1.73,0,0
1.74,0,0
1.75,0,0
1.76,0,0
1.77,0,0
1.78,0,0
1.79,0,0
1.8,0,0
1.81,0,0
1.82,0,0
1.83,0,0
1.84,0,0
1.85,0,0
1.86,0,0
1.87,117502,0
1.88,364832,0
1.89,344932,0
1.9,390228,0
1.91,577832,0
1.92,465602,0
1.93,407224,0
1.94,485296,0
1.95,414856,0
1.96,448828,0
1.97,409332,0
1.98,412294,0
1.99,487338,0
2,419860,0
2.01,500832,0
2.02,465812,0
2.03,433424,0
2.04,474500,0
2.05,466600,0
2.06,431514,0
2.07,507086,0
2.08,484706,0
2.09,505704,0
2.1,445470,0
2.11,302684,0
2.12,33308,0
2.13,358772,0
2.14,386890,0
2.15,292882,0
2.16,526306,0
2.17,439608,0
2.18,461996,0
2.19,515510,0
2.2,38118,0
2.21,0,0
2.22,0,0
2.23,104012,0
2.24,512024,0
2.25,509454,0
2.26,418082,0
2.27,437178,0
2.28,486806,0
2.29,395574,0
2.3,516364,0
2.31,400248,0
2.32,516298,0
2.33,483922,0
2.34,484046,0
2.35,445734,0
2.36,335860,0
2.37,424340,0
2.38,395570,0
2.39,401824,0
2.4,316116,0
2.41,256212,0
2.42,269640,0
2.43,274446,0
2.44,328686,0
2.45,186432,0
2.46,213420,0
2.47,184196,0
2.48,219674,0
2.49,213420,0
2.5,210392,0
2.51,216580,0
2.52,240742,0
2.53,175112,0
2.54,224216,0
2.55,231324,0
2.56,162996,0
2.57,167318,71
2.58,143280,90
2.59,138036,87
2.6,124176,78
2.61,94396,59
2.62,113032,71
2.63,111440,70
2.64,121070,76
2.65,141610,89
2.66,116216,73
2.67,164808,52
2.68,210062,0
2.69,225730,0
2.7,172080,0
2.71,194988,0
2.72,30808,0
2.73,49702,0
2.74,191696,0
2.75,133174,0
2.76,151210,0
2.77,185970,0
2.78,181032,0
2.79,190314,0
2.8,167076,0
2.81,159308,0
2.82,177476,0
2.83,153582,0
2.84,179452,0
2.85,168656,0
2.86,134424,0
2.87,184258,0
2.88,153120,0
2.89,165496,0
2.9,159374,0
2.91,154700,0
2.92,183928,0
2.93,204402,0
2.94,140744,0
2.95,136136,0
2.96,120600,0
2.97,184126,0
2.98,125274,0
2.99,179452,0
3,97560,0
3.01,89726,0
3.02,92820,0
3.03,106710,0
3.04,103682,0
3.05,97428,0
3.06,91306,0
3.07,95914,0
3.08,86632,0
3.09,89726,0
3.1,100522,0
3.11,88212,0
3.12,86632,0
3.13,100522,0
3.14,99008,0
3.15,89726,0
3.16,92820,0
3.17,92820,0
3.18,102102,0
3.19,92820,0
3.2,97494,0
3.21,92820,0
3.22,94334,0
3.23,103682,0
3.24,95914,0
3.25,100522,0
3.26,99008,0
3.27,88212,0
3.28,105196,0
3.29,102102,0
3.3,103616,0
3.31,88146,0
3.32,100588,0
3.33,61880,0
3.34,21658,0
3.35,51084,0
3.36,89726,0
3.37,78864,0
3.38,66554,0
3.39,95914,0
3.4,66488,0
3.41,88212,0
3.42,91240,0
3.43,80444,0
3.44,83538,0
3.45,85118,0
3.46,100522,0
3.47,92820,0
3.48,100588,0
3.49,95914,0
3.5,102102,0
3.51,99008,0
3.52,100522,0
3.53,108290,0
3.54,94400,0
3.55,86632,0
3.56,100522,0
3.57,100588,0
3.58,100522,0
3.59,60366,0
3.6,80444,0
3.61,72676,0
3.62,95914,0
3.63,91306,0
3.64,89726,0
3.65,95848,0
3.66,78930,0
3.67,63460,0
3.68,60300,0
3.69,66554,0
3.7,78864,0
3.71,58786,0
3.72,69648,0
3.73,69582,0
3.74,63460,0
3.75,66488,0
3.76,64974,0
3.77,68068,0
3.78,63460,0
3.79,72676,0
3.8,75836,0
3.81,60300,0
3.82,71162,0
3.83,71162,0
3.84,69648,0
3.85,75770,0
3.86,61880,0
3.87,57272,0
3.88,68068,0
3.89,74256,0
3.9,64974,0
3.91,71162,0
3.92,66488,0
3.93,69648,0
3.94,66488,0
3.95,71162,0
3.96,74256,0
3.97,61880,0
3.98,55692,0
3.99,0,0
4,46410,0
4.01,55692,0
4.02,54178,0
4.03,58786,0
4.04,41736,0
4.05,74256,0
4.06,75836,0
4.07,64974,0
4.08,75770,0
4.09,66554,0
4.1,71096,0
4.11,75836,0
4.12,72742,0
4.13,71162,0
4.14,74256,0
4.15,77350,0
4.16,61880,0
4.17,61880,0
4.18,69582,0
4.19,68068,0
4.2,58786,0
4.21,69648,0
4.22,51018,0
4.23,54178,0
4.24,61880,0
4.25,66488,0
4.26,71162,0
4.27,54178,0
4.28,49504,0
4.29,47924,0
4.3,40222,0
4.31,54178,0
4.32,38642,0
4.33,44896,0
4.34,49504,0
4.35,44830,0
4.36,52598,0
4.37,44896,0
4.38,41736,0
4.39,47990,0
4.4,29360,0
4.41,51084,0
4.42,47924,0
4.43,49504,0
4.44,55692,0
4.45,46410,0
4.46,52598,0
4.47,49504,0
4.48,54178,0
4.49,57206,0
4.5,52598,0
4.51,60366,0
4.52,47924,0
4.53,52598,0
4.54,51084,0
4.55,55692,0
4.56,58786,0
4.57,51018,0
4.58,57272,0
4.59,61880,0
4.6,57206,0
4.61,0,0
4.62,17050,0
4.63,51018,0
4.64,47990,0
4.65,40222,0
4.66,49504,0
4.67,52598,0
4.68,51018,0
4.69,52598,0
4.7,43316,0
4.71,60366,0
4.72,49504,0
4.73,55692,0
4.74,51018,0
4.75,57272,0
4.76,61880,0
4.77,52598,0
4.78,54112,0
4.79,60366,0
4.8,60300,0
4.81,54178,0
4.82,43316,0
4.83,49504,0
4.84,54112,0
4.85,51084,0
4.86,57206,0
4.87,37128,0
4.88,35548,0
4.89,34100,0
4.9,27846,0
4.91,47924,0
4.92,38708,0
4.93,47924,0
4.94,46410,0
4.95,41802,0
4.96,49504,0
4.97,37128,0
4.98,41736,0
4.99,24752,0
5,41802,0
5.01,46410,0
5.02,41736,0
5.03,46410,0
5.04,49504,0
5.05,43316,0
5.06,46410,0
5.07,44896,0
5.08,46410,0
5.09,47924,0
5.1,44896,0
5.11,46410,0
5.12,40222,0
5.13,49504,0
5.14,44830,0
5.15,47990,0
5.16,46410,0
5.17,41736,0
5.18,46410,0
5.19,49504,0
5.2,46410,0
5.21,47990,0
5.22,37128,0
5.23,47924,0
5.24,49504,0
5.25,44896,0
5.26,46410,0
5.27,35548,0
5.28,47990,0
5.29,47924,0
5.3,44896,0
5.31,47924,0
5.32,40222,0
5.33,43316,0
5.34,51084,0
5.35,46410,0
5.36,49504,0
5.37,40222,0
5.38,43316,0
5.39,49504,0
5.4,38642,0
5.41,44896,0
5.42,38642,0
5.43,43316,0
5.44,49504,0
5.45,47990,0
5.46,47924,0
5.47,40222,0
5.48,44896,0
5.49,46410,0
5.5,47924,0
5.51,44896,0
5.52,41736,0
5.53,44896,0
5.54,49504,0
5.55,41736,0
5.56,47990,0
5.57,41736,0
5.58,43316,0
5.59,44896,0
5.6,43316,0
5.61,47924,0
5.62,41802,0
5.63,43316,0
5.64,46410,0
5.65,44830,0
5.66,49504,0
5.67,44896,0
5.68,44830,0
5.69,44896,0
5.7,44830,0
5.71,51084,0
5.72,47924,0
5.73,21658,0
5.74,49504,0
5.75,49504,0
5.76,46410,0
5.77,49504,0
5.78,41802,0
5.79,49504,0
5.8,46410,0
5.81,46344,0
5.82,47990,0
5.83,15470,0
5.84,40222,0
5.85,43316,0
5.86,43316,0
5.87,41802,0
5.88,34034,0
5.89,49504,0
5.9,30940,0
5.91,43316,0
5.92,44830,0
5.93,38708,0
5.94,34034,0
5.95,47924,0
5.96,41802,0
5.97,49504,0
5.98,40222,0
5.99,49438,0
6,44896,0
6.01,46410,0
6.02,47990,0
6.03,38642,0
6.04,47990,0
6.05,46410,0
6.06,47924,0
6.07,43316,0
6.08,40222,0
6.09,47990,0
6.1,47924,0
