"Interval start","All packets"
3.38,0
3.39,0
3.4,0
3.41,0
3.42,0
3.43,0
3.44,0
3.45,0
3.46,0
3.47,0
3.48,0
3.49,0
3.5,0
3.51,0
3.52,0
3.53,0
3.54,0
3.55,0
3.56,0
3.57,0
3.58,0
3.59,0
3.6,0
3.61,0
3.62,0
3.63,0
3.64,0
3.65,0
3.66,0
3.67,0
3.68,0
3.69,0
3.7,0
3.71,0
3.72,0
3.73,0
3.74,0
3.75,0
3.76,0
3.77,0
3.78,0
3.79,0
3.8,0
3.81,391620
3.82,652722
3.83,1.11016e+06
3.84,1.17526e+06
3.85,979380
3.86,1.17526e+06
3.87,979248
3.88,1.1101e+06
3.89,1.17526e+06
3.9,1.04467e+06
3.91,1.24055e+06
3.92,979248
3.93,1.11003e+06
3.94,1.10996e+06
3.95,1.17526e+06
3.96,1.17526e+06
3.97,1.04461e+06
3.98,1.10996e+06
3.99,1.11003e+06
4,1.04467e+06
4.01,848796
4.02,1.1099e+06
4.03,1.1099e+06
4.04,1.1101e+06
4.05,1.04467e+06
4.06,979380
4.07,1.17519e+06
4.08,1.04474e+06
4.09,1.17526e+06
4.1,1.04467e+06
4.11,1.10996e+06
4.12,1.17526e+06
4.13,1.04467e+06
4.14,1.17526e+06
4.15,1.04467e+06
4.16,1.04467e+06
4.17,1.17526e+06
4.18,979512
4.19,1.17526e+06
4.2,1.10996e+06
4.21,1.10996e+06
4.22,1.17526e+06
4.23,1.10996e+06
4.24,1.17526e+06
4.25,1.10996e+06
4.26,1.10996e+06
4.27,1.10996e+06
4.28,1.17519e+06
4.29,1.11003e+06
4.3,914088
4.31,1.10996e+06
4.32,1.04467e+06
4.33,1.0448e+06
4.34,1.17526e+06
4.35,1.10996e+06
4.36,1.17519e+06
4.37,1.17532e+06
4.38,979380
4.39,1.17526e+06
4.4,1.17519e+06
4.41,1.11003e+06
4.42,1.04467e+06
4.43,914088
4.44,0
4.45,0
4.46,0
4.47,0
4.48,0
4.49,0
4.5,0
4.51,0
4.52,0
4.53,0
4.54,0
4.55,0
4.56,0
4.57,0
4.58,0
4.59,0
4.6,0
4.61,0
4.62,0
4.63,0
4.64,0
4.65,0
4.66,0
4.67,0
4.68,0
4.69,0
4.7,0
4.71,0
4.72,0
4.73,0
4.74,0
4.75,0
4.76,0
4.77,0
4.78,0
4.79,0
4.8,0
4.81,0
4.82,0
4.83,0
4.84,0
4.85,0
4.86,0
4.87,0
4.88,0
4.89,0
4.9,0
4.91,0
4.92,0
4.93,0
4.94,0
4.95,0
4.96,0
4.97,0
4.98,0
4.99,0
5,0
5.01,0
5.02,0
5.03,0
5.04,0
5.05,0
5.06,0
5.07,0
5.08,0
5.09,0
5.1,0
5.11,0
5.12,0
5.13,0
5.14,0
5.15,0
5.16,0
5.17,0
5.18,0
5.19,0
5.2,0
5.21,0
5.22,0
5.23,0
5.24,0
5.25,0
5.26,0
5.27,0
5.28,0
5.29,0
5.3,0
5.31,0
5.32,0
5.33,0
5.34,848862
5.35,1.17532e+06
5.36,1.10996e+06
5.37,1.17526e+06
5.38,914088
5.39,1.10996e+06
5.4,1.24055e+06
5.41,979380
5.42,913956
5.43,1.04467e+06
5.44,1.04467e+06
5.45,1.17526e+06
5.46,1.17526e+06
5.47,1.10996e+06
5.48,1.04467e+06
5.49,1.1101e+06
5.5,1.04467e+06
5.51,1.10996e+06
5.52,1.17526e+06
5.53,1.10996e+06
5.54,1.10996e+06
5.55,1.17526e+06
5.56,1.10996e+06
5.57,1.10996e+06
5.58,1.04461e+06
5.59,1.04474e+06
5.6,1.17526e+06
5.61,914088
5.62,1.10996e+06
5.63,1.04467e+06
5.64,1.04467e+06
5.65,1.17526e+06
5.66,979380
5.67,1.17526e+06
5.68,1.04467e+06
5.69,1.10996e+06
5.7,1.17526e+06
5.71,1.17519e+06
5.72,1.11003e+06
5.73,1.04467e+06
5.74,1.10996e+06
5.75,1.17526e+06
5.76,1.10996e+06
5.77,1.17526e+06
5.78,913956
5.79,652722
5.8,717882
5.81,326592
5.82,0
5.83,457044
5.84,1.10996e+06
5.85,1.10996e+06
5.86,979380
5.87,1.10996e+06
5.88,1.17526e+06
5.89,1.17526e+06
5.9,1.17526e+06
5.91,979314
5.92,1.04487e+06
5.93,1.17526e+06
5.94,1.17526e+06
5.95,1.10996e+06
5.96,979380
5.97,1.10996e+06
5.98,1.17526e+06
5.99,1.17526e+06
6,1.17526e+06
6.01,914088
6.02,1.04467e+06
6.03,1.04461e+06
6.04,1.04467e+06
6.05,1.10996e+06
6.06,979380
6.07,1.04467e+06
6.08,1.1101e+06
6.09,1.17526e+06
6.1,1.10996e+06
6.11,979380
6.12,1.10996e+06
6.13,1.17526e+06
6.14,1.17526e+06
6.15,1.10996e+06
6.16,979380
6.17,1.10996e+06
6.18,1.17526e+06
6.19,1.17526e+06
6.2,1.04467e+06
6.21,1.04461e+06
6.22,1.04467e+06
6.23,1.17532e+06
6.24,1.17526e+06
6.25,979380
6.26,652524
6.27,1.17526e+06
6.28,1.10996e+06
6.29,1.17526e+06
6.3,1.04467e+06
6.31,979248
6.32,1.17532e+06
6.33,1.1101e+06
6.34,1.17526e+06
6.35,914088
6.36,914088
6.37,1.17526e+06
6.38,1.17519e+06
6.39,1.11003e+06
6.4,1.17526e+06
6.41,848664
6.42,848796
6.43,1.24048e+06
6.44,1.04487e+06
6.45,1.17526e+06
6.46,979116
6.47,1.11016e+06
6.48,1.17526e+06
6.49,1.04467e+06
6.5,1.17526e+06
6.51,979380
6.52,1.17526e+06
6.53,1.10996e+06
6.54,1.0448e+06
6.55,1.17526e+06
6.56,1.04467e+06
6.57,1.10996e+06
6.58,1.17526e+06
6.59,1.10996e+06
6.6,1.10996e+06
6.61,1.04467e+06
6.62,1.10996e+06
6.63,1.17526e+06
6.64,1.10996e+06
6.65,1.10996e+06
6.66,848796
6.67,914088
6.68,1.17526e+06
6.69,587628
